,house_price_rotterdam,rental_agency_rotterdam,postcode_rotterdam,bedrooms_rotterdam,surface_rotterdam
1033,3400.0,Rent an Apartment,3011XM,3,100
1034,2250.0,Rotterdam Apartments,3015XL,2,70
1035,1525.0,Rotterdam Apartments,3016BB,2,48
1036,1425.0,Rotterdam Apartments,3016BB,2,41
1037,1495.0,Rotterdam Apartments,3016BB,2,47
1038,1250.0,Rotterdam Apartments,3016BB,1,35
1039,1250.0,Rotterdam Apartments,3012LG,1,50
1040,1250.0,Rotterdam Apartments,3012LG,1,50
1041,1200.0,Rotterdam Apartments,3012BT,1,50
1042,1650.0,Rotterdam Apartments,3014DA,1,65
1043,1200.0,Rotterdam Apartments,3012BT,1,50
1044,1650.0,TVN Real Estate,3012CC,2,60
1045,1111.0,Rotterdam Apartments,3061AB,1,25
1046,2187.0,Rotterdam Apartments,3011XM,3,74
1047,1500.0,Dop & Dop Consultancy,3038AL,3,120
1048,2275.0,Rotterdam Apartments,3012BN,1,40
1049,1200.0,Rotterdam Apartments,3012BT,1,45
1050,1150.0,Rotterdam Apartments,3012BT,1,50
1051,1795.0,Rotterdam Apartments,3021NM,3,116
1052,1250.0,Rotterdam Apartments,3012LG,1,50
1053,1300.0,Rotterdam Apartments,3012LG,1,50
1054,1550.0,Rotterdam Apartments,3012LG,1,50
1055,1300.0,Rotterdam Apartments,3012LG,1,50
1056,1550.0,Rotterdam Apartments,3012LG,1,50
1057,1100.0,Rotterdam Apartments,3012LG,1,50
1058,1300.0,Rotterdam Apartments,3012LG,1,50
1059,1300.0,Rotterdam Apartments,3012LG,1,50
1060,1495.0,Rotterdam Apartments,3012LG,1,50
1061,1425.0,Rotterdam Apartments,3012LG,1,50
1062,1111.0,Rotterdam Apartments,3061AB,1,20
1063,1400.0,Rotterdam Apartments,3012LG,1,50
1064,1250.0,Rotterdam Apartments,3012LG,1,50
1065,1400.0,Rotterdam Apartments,3012LG,1,50
1066,2250.0,Rotterdam Apartments,3012BN,1,40
1067,2300.0,Rotterdam Apartments,3012BN,1,40
1068,1450.0,Ideaal Housing & Makelaars,3014JG,1,30
1069,1650.0,Rotterdam Apartments,3014DA,1,65
1070,3900.0,Rent an Apartment,3011XM,3,134
1071,1650.0,Rotterdam Apartments,3014DA,1,65
1072,1650.0,Rotterdam Apartments,3014DA,1,65
1073,3315.0,Ideaal Housing & Makelaars,3014DA,2,65
1074,3325.0,Ideaal Housing & Makelaars,3014DA,2,65
1075,800.0,Rotterdam Rent,3022HL,2,25
1076,2400.0,Jeco Rental Services,3072MH,2,85
1077,2360.0,Rent an Apartment,3011XM,2,72
