,house_price_rotterdam,rental_agency_rotterdam,postcode_rotterdam,bedrooms_rotterdam,surface_rotterdam
260,1750.0,De Bloois Vastgoed,3074BJ,6,113
261,1495.0,VERRA Real Estate Rotterdam,3031RH,3,64
262,1140.0,Ronifica Real Estate,3012HW,3,70
263,1250.0,REC Vastgoed,3028ET,3,79
264,650.0,University Housing,3083EL,1,12
265,1000.0,University Housing,3037BL,1,25
266,650.0,University Housing,3083MX,1,12
267,950.0,University Housing,3075LR,1,30
268,1750.0,VERRA Real Estate Rotterdam,3034RR,3,95
269,1500.0,Rotterdam Rent,3012CC,2,80
270,1550.0,Rotterdam Rent,3012CC,2,60
271,1150.0,Perfectrent,3023AR,2,53
272,1995.0,HS Makelaars,3011HE,3,86
273,995.0,Riva Rentals,3073DZ,2,55
274,1495.0,Riva Rentals,3012BE,3,80
275,1350.0,Riva Rentals,3033XM,2,70
276,1375.0,Riva Rentals,3039TP,2,85
277,2250.0,Riva Rentals,3022TB,4,146
278,1600.0,Riva Rentals,3061XP,3,104
279,1195.0,Rotterdam Apartments,3025HB,2,87
280,1899.0,Rotterdam Apartments,3015BE,3,90
281,1850.0,Rotterdam Apartments,3011VH,2,65
282,950.0,De Bloois Vastgoed,3083DH,4,65
283,1995.0,Fransen Vastgoed,3021HH,4,135
284,1599.0,Maasstad Woningverhuur,3032AX,3,85
285,1750.0,Maasstad Woningverhuur,3067AC,3,94
286,1350.0,VERRA Real Estate Rotterdam,3011KP,3,84
287,1250.0,Ideaal Housing & Makelaars,3038EA,3,65
288,1275.0,Fransen Vastgoed,3016BE,2,56
289,700.0,University Housing,3067HP,1,13
290,550.0,University Housing,3076BD,1,10
291,750.0,University Housing,3076BD,1,30
292,650.0,University Housing,3076BD,1,15
293,1350.0,University Housing,3035BT,2,45
294,1450.0,Riva Rentals,3042CZ,4,88
295,1500.0,Stad en Land Makelaars,3012BH,3,85
296,950.0,Rent an Apartment,3021GP,2,65
297,1100.0,Huisportaal.nl,3075CK,3,63
298,1295.0,Riva Rentals,3039KK,2,68
299,1495.0,Interhouse verhuurmakelaars Rotterdam,3021DM,4,66
300,1375.0,Ooms Makelaars Woningen,3055JG,3,82
301,2800.0,Rotterdam Apartments,3072MM,3,82
302,1400.0,Rotterdam Apartments,3079ET,4,92
303,1500.0,Stad en Land Makelaars,3062HB,3,100
304,795.0,123Wonen Rotterdam,3083NL,3,55
305,650.0,University Housing,3083KP,1,15
306,1600.0,Ideaal Housing & Makelaars,3038BN,3,100
307,440.0,Max Suites,3083VC,1,13
308,450.0,Max Suites,3083VC,2,16
309,1350.0,VERRA Real Estate Rotterdam,3014GD,2,85
310,1250.0,BenHousing,3077MJ,3,90
311,1095.0,BenHousing,3034SM,2,65
312,1295.0,Jeco Rental Services,3075DE,3,67
313,1650.0,iRooms and Houses,3071AB,3,96
314,1550.0,Vastgoed Unie Makelaardij ,3012GD,3,74
315,3250.0,Riva Rentals,3014GP,3,138
316,1295.0,Riva Rentals,3039HA,2,67
317,1195.0,Stapper Vastgoed BV,3069BD,4,85
318,1600.0,StartHousing,3039HC,2,66
319,1595.0,Rotterdam Apartments,3024EP,3,102
320,1800.0,Rotterdam Apartments,3061CZ,5,80
321,1395.0,Rotterdam Apartments,3072AP,2,60
322,1400.0,Stad en Land Makelaars,3031PW,2,70
323,775.0,123Wonen Rotterdam,3033BD,1,20
324,2000.0,Loftly,3024EG,2,130
325,440.0,Max Suites,3083VG,2,12
326,420.0,Max Suites,3083VG,1,10
327,845.0,Max Property Rentals,3083DJ,3,46
328,1500.0,Riva Rentals,3031AW,2,95
329,1095.0,Riva Rentals,3081GS,2,90
330,1095.0,Riva Rentals,3073BZ,2,66
331,1950.0,Interhouse verhuurmakelaars Rotterdam,3011PA,3,94
332,999.0,Woonstad Rotterdam,3061LE,4,89
333,1379.0,Woonstad Rotterdam,3012GT,2,105
334,1650.0,RE/MAX Totaal Makelaars,3039HE,3,78
335,1850.0,RE/MAX Totaal Makelaars,3023HE,3,90
