,house_price_amsterdam,rental_agency_amsterdam,postcode_amsterdam,bedrooms_amsterdam,surface_amsterdam
265,2500.0,Your Home Makelaardij,1053LJ,2,91
266,1400.0,020-Makelaars,1091BG,2,55
267,1500.0,020-Makelaars,1091BG,2,65
268,1650.0,Domica Amsterdam,1103TT,3,79
269,1750.0,123Wonen Amsterdam,1079EC,2,70
270,1925.0,Amsterdamse Maatschappij,1055NB,4,144
271,1500.0,Amsterdamse Maatschappij,1056XT,3,53
272,2250.0,Amsterdam Housing,1055MR,3,115
273,1770.0,Amsterdam Housing,1012MZ,3,90
274,1500.0,JLG Real Estate,1057ZK,3,56
275,1400.0,JLG Real Estate,1059VN,2,54
276,1750.0,JLG Real Estate,1073CX,3,59
277,1475.0,Parker & Williams Real Estate Services,1012DJ,2,65
278,1700.0,TVN Real Estate,1015WJ,3,53
279,2150.0,Out Amsterdam,1074CT,3,66
280,1750.0,Rotsvast Amsterdam,1012VN,2,50
281,2650.0,Rotsvast Amsterdam,1072LC,3,86
282,1550.0,Huizenbalie BV,1025ZM,4,85
283,1850.0,Inter Immo Amsterdam,1066DA,4,101
284,1500.0,Homecrew,1079NX,2,49
285,1850.0,2ndhome4u,1060TT,3,83
286,1450.0,Amsterdam Rental Homes,1052GH,3,60
287,1650.0,Amsterdam Rental Homes,1078CE,3,65
288,2750.0,Out Amsterdam,1078JP,4,129
289,1250.0,Hevesta Bemiddeling,1055MR,1,35
290,1550.0,Amsterdam Rental Homes,1062HN,3,65
291,1400.0,Amsterdam Rental Homes,1053GJ,2,55
292,2500.0,Relocation Advisers B.V.,1071BN,3,100
293,1800.0,Cosmo Housing,1054EN,2,68
294,1375.0,Reallo,1053DE,2,30
295,1550.0,Home of Orange,1055XT,3,50
296,1650.0,Listings,1074VP,2,50
297,1900.0,Eeya Real Estate Management,1054ZH,2,66
298,1750.0,Oei Housing Amsterdam - Expat Apartments,1071AC,2,70
299,2995.0,Relocation-Amsterdam,1073AZ,4,120
300,2195.0,Relocation-Amsterdam,1072ES,3,70
301,1850.0,Rotsvast Amsterdam,1081AE,4,120
302,1250.0,Eday Housing Services,1072TZ,2,30
303,1650.0,Expats. Amsterdam Rentals ,1072HD,3,65
304,1695.0,Expats. Amsterdam Rentals ,1066LX,4,100
305,4500.0,Peter Bruin Makelaardij,1075HG,5,153
306,2400.0,Hometoday.nl,1013KA,5,125
307,1195.0,A1 Executive Estate,1065LH,2,25
308,1195.0,A1 Executive Estate,1065LH,2,25
309,995.0,A1 Executive Estate,1065LH,2,21
310,1850.0,Collection Apartments,1072GA,3,65
311,1850.0,Collection Apartments,1072GA,3,65
312,3950.0,Collection Apartments,1011JX,4,175
313,2750.0,Collection Apartments,1011JX,2,100
314,3350.0,Collection Apartments,1011JX,3,150
315,1495.0,123Wonen Amstelveen,1107KD,5,90
316,1426.0,LIV Residential,1069RS,3,87
317,1450.0,MA Residences,1075TK,2,40
318,1595.0,Vastgoed Unie Makelaardij ,1057RN,3,49
319,1695.0,Vastgoed Unie Makelaardij ,1057RP,3,49
320,1250.0,Hevesta Bemiddeling,1055MR,1,35
321,2750.0,Out Amsterdam,1078JP,4,129
322,1950.0,Van Huis Uit Makelaars,1054VB,3,73
323,1550.0,Van Huis Uit Makelaars,1017TE,2,51
324,3750.0,Executive Home Rentals  Amsterdam,1017DJ,5,210
325,1700.0,Heeren Makelaars B.V.,1081EG,3,90
326,1500.0,AHA (Another Home Abroad),1072TV,2,40
327,1650.0,Makelaarskantoor Carla van den Brink,1079KN,2,52
328,1400.0,123Wonen Amsterdam,1033PA,2,50
329,1750.0,Smit & Heinen Makelaars en Taxateurs,1081EK,4,92
330,1750.0,Smit & Heinen Makelaars en Taxateurs,1052CR,3,68
331,1225.0,Linger OG,1104EA,2,61
332,1500.0,Linger OG,1103MT,3,89
333,2450.0,De Graaf & Groot Makelaars,1077RN,3,110
334,1525.0,BrinkBorgh Makelaardij,1079NP,2,48
335,1850.0,Expat Rentals,1094HW,3,97
336,1675.0,Expat Rentals,1053KM,3,61
337,2650.0,Broersma Makelaardij,1016KV,3,78
338,1650.0,Keij & Stefels Makelaars en Taxateurs,1015LH,3,56
339,3950.0,Keij & Stefels Makelaars en Taxateurs,1011JX,4,175
340,2750.0,Keij & Stefels Makelaars en Taxateurs,1011JX,2,85
341,3550.0,Keij & Stefels Makelaars en Taxateurs,1011JX,3,145
342,1750.0,Amsterdam Housing,1053WV,2,60
343,1500.0,Amsterdam Housing,1064MR,4,95
344,2000.0,Amsterdam Housing,1064NS,3,110
345,1850.0,Amsterdam Housing,1016NL,3,65
346,1800.0,Dutch Housing Centre BV,1075GK,3,65
347,1495.0,JLG Real Estate,1015AJ,2,60
348,1750.0,JLG Real Estate,1018HE,3,58
